,InstanceType,IoOptimized,NetworkType,OSType,RegionId,hour,month,week,year,years-2,years-3,years-4,years-5
846,ecs.se1ne.14xlarge,optimized,vpc,linux,cn-beijing,33.801,9735.6,2869.44,92232.0,147571.2,166017.6,177085.44,184464.0
847,ecs.se1ne.4xlarge,optimized,vpc,windows,cn-beijing,9.661,2781.6,819.84,26352.0,42163.2,47433.6,50595.84,52704.0
848,ecs.sn1.medium,optimized,vpc,linux,ap-northeast-1,0.747,389.0,108.92,3967.8,7935.6,11903.4,15871.2,19839.0
849,ecs.i2.8xlarge,optimized,vpc,linux,ap-southeast-2,17.15,8122.5,2394.0,76950.0,123120.0,138510.0,147744.0,153900.0
850,ecs.n4.8xlarge,optimized,vpc,windows,cn-zhangjiakou,8.616,2611.0,731.08,26632.2,43864.8,46998.0,62664.0,78330.0
851,ecs.r5.16xlarge,optimized,vpc,linux,cn-huhehaote,31.036,8937.6,2634.24,84672.0,135475.2,152409.6,162570.24,169344.0
852,ecs.cm4.4xlarge,optimized,vpc,windows,ap-southeast-2,14.35,8080.34,2381.57,76550.58,122480.93,137791.04,146977.11,153101.16
853,ecs.i2.xlarge,optimized,vpc,linux,cn-shenzhen,3.316,953.8,281.12,9036.0,14457.6,16264.8,17349.12,18072.0
854,ecs.t5-lc1m1.small,optimized,vpc,windows,cn-beijing,0.079,22.8,6.72,216.0,345.6,388.8,414.72,432.0
855,ecs.se1ne.14xlarge,optimized,vpc,linux,us-west-1,31.615,14043.88,4139.25,133047.27,212875.63,239485.09,255450.76,266094.54
856,ecs.sn2ne.14xlarge,optimized,vpc,windows,cn-zhangjiakou,23.826,6862.8,2022.72,65016.0,104025.6,117028.8,124830.72,130032.0
857,ecs.e4.4xlarge,optimized,vpc,linux,cn-qingdao,13.718,4160.0,1164.8,42432.0,69888.0,74880.0,99840.0,124800.0
858,ecs.cm4.6xlarge,optimized,vpc,windows,cn-shenzhen,19.95,3910.2,1152.48,37044.0,59270.4,66679.2,71124.48,74088.0
859,ecs.d1.6xlarge,optimized,vpc,linux,cn-shenzhen,18.135,5224.05,1539.72,49491.0,79185.6,89083.8,95022.72,98982.0
860,ecs.sn2ne.large,optimized,vpc,linux,cn-qingdao,0.94,271.7,80.08,2574.0,4118.4,4633.2,4942.08,5148.0
861,ecs.n2.medium,optimized,vpc,windows,cn-hongkong,1.035,533.0,149.23,5436.6,8954.4,9594.0,12792.0,15990.0
862,ecs.gn5-c8g1.2xlarge,optimized,vpc,windows,cn-shenzhen,17.205,4954.25,1460.2,46935.0,75096.0,84483.0,90115.2,93870.0
863,ecs.n4.2xlarge,optimized,classic,linux,cn-shanghai,2.83,816.0,228.48,8323.2,13708.8,14688.0,19584.0,24480.0
864,ecs.t5-c1m4.large,optimized,vpc,windows,cn-hangzhou,0.598,171.0,50.4,1620.0,2592.0,2916.0,3110.4,3240.0
865,ecs.i2.xlarge,optimized,vpc,windows,cn-shenzhen,3.316,953.8,281.12,9036.0,14457.6,16264.8,17349.12,18072.0
866,ecs.sn2.7xlarge,optimized,classic,windows,cn-hongkong,23.944,13669.0,3827.31,139423.8,229639.2,246042.0,328056.0,410070.0
867,ecs.gn5-c8g1.8xlarge,optimized,vpc,windows,cn-huhehaote,61.93,17835.3,5256.72,168966.0,270345.6,304138.8,324414.72,337932.0
868,ecs.e3.medium,optimized,classic,windows,ap-southeast-1,1.738,910.0,254.79,9282.0,15288.0,16380.0,21840.0,27300.0
869,ecs.se1.2xlarge,optimized,classic,windows,cn-hangzhou,6.14,1464.0,409.92,14932.8,24595.2,26352.0,35136.0,43920.0
870,ecs.se1ne.14xlarge,optimized,vpc,windows,ap-southeast-5,51.139,28559.67,8417.58,270565.29,432904.46,487017.52,519485.36,541130.58
871,ecs.e4.small,optimized,vpc,linux,cn-shanghai,0.855,260.0,72.8,2652.0,4368.0,4680.0,6240.0,7800.0
872,ecs.se1ne.3xlarge,optimized,vpc,linux,cn-hangzhou,7.249,2086.2,614.88,19764.0,31622.4,35575.2,37946.88,39528.0
873,ecs.se1ne.6xlarge,optimized,vpc,linux,cn-zhangjiakou,13.062,3762.0,1108.8,35640.0,57024.0,64152.0,68428.8,71280.0
874,ecs.d1ne.6xlarge,optimized,vpc,linux,cn-huhehaote,19.047,4938.1,1455.44,46782.0,74851.2,84207.6,89821.44,93564.0
